state,x,y
Abia,-33,-145
Adamawa,173,24
Akwa Ibom,-23,-180
Anambra,-59,-123
Bauchi,63,56
Bayelsa,-100,-185
Benue,14,-72
Borno,212,131
Cross River,2,-147
Delta,-104,-153
Ebonyi,-17,-119
Edo,-114,-106
Ekiti,-135,-55
Enugu,-42,-102
Gombe,120,67
Imo,-61,-150
Jigawa,43,149
Kaduna,-30,60
Kano,4,123
Katsina,-40,161
Kebbi,-185,115
Kogi,-85,-49
Kwara,-165,-9
Lagos,-213,-110
Nasarawa,-16,-23
Niger,-128,37
Ogun,-232,-86
Ondo,-149,-87
Osun,-168,-62
Oyo,-213,-33
Plateau,47,9
Rivers,-74,-175
Sokoto,-140,192
Taraba,84,-50
Yobe,127,156
Zamfara,-106,135
Abuja,-53,-8
